ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,2,76.49999999999989,47.5,63,35,101,1037,1208,57330,2205,297,2205,22001,26,3.9,756064033,13240655799,192419096,1415282284,89458322
2,2,76.49999999999989,49.5,60,38,89,1037,1262.5,52440,2280,285,2280,19724,23,3.9,756064033,13240655799,192419096,1415282284,89458322
3,2,39.5,55,29,44,117,1248,1208,38280,1276,263,1276,18358,30,3.9,756064033,13240655799,192419096,1415282284,89458322
4,4,39.5,49,26,32,69,1248,1263,19136,832,185,832,8836,23,3,756064033,13240655799,192419096,1415282284,89458322
5,2,54.50000000000023,60.5,40,48,74,1178.9999999999998,1047,36480,1920,250,1920,14944,19,3.9,756064033,13240655799,192419096,1415282284,89458322
6,2,39.5,59.5,29,44,117,1126.4999999999998,973.5,38280,1276,263,1276,18358,30,3.9,756064033,13240655799,192419096,1415282284,89458322
7,2,82.49999999999989,47,63,35,101,1031,986,57330,2205,297,2205,22001,26,3.9,756064033,13240655799,192419096,1415282284,89458322
8,2,43,71.5,28,57,105,970.9999999999999,1047,43092,1596,275,1596,19446,27,3.9,756064033,13240655799,192419096,1415282284,89458322
9,2,54.50000000000023,55,36,39,113,1178.9999999999998,1208,40716,1404,263,1404,18354,29,3.9,756064033,13240655799,192419096,1415282284,89458322
10,2,54.50000000000023,49,40,37,113,1178.9999999999998,1263,42920,1480,267,1480,18882,29,3.9,756064033,13240655799,192419096,1415282284,89458322
11,3,48.5,26,34,18,34,1248,1127.5,6120,612,138,612,4148,10,3.4,756064033,13240655799,192419096,1415282284,89458322
12,4,48.5,39.5,31,25,81,1248,1153.5,20925,775,193,775,9847,27,3,756064033,13240655799,192419096,1415282284,89458322
13,5,103.5,39.5,98,27,12,926.4999999999999,1208,7938,2646,262,2646,5646,3,4,756064033,13240655799,192419096,1415282284,89458322
14,2,50.50000000000023,78.5,31,68,117,1182.9999999999998,1114.5,63240,2108,315,2108,25274,30,3.9,756064033,13240655799,192419096,1415282284,89458322
15,4,36,37,24,26,81,926.4999999999999,1125.5,16848,624,181,624,8724,27,3,756064033,13240655799,192419096,1415282284,89458322
16,3,36,30.5,18,27,30,926.4999999999999,1162.5,4374,486,120,486,3186,9,3.4,756064033,13240655799,192419096,1415282284,89458322
17,2,51.5,67.5,33,54,117,962.4999999999999,1125.5,53460,1782,291,1782,22140,30,3.9,756064033,13240655799,192419096,1415282284,89458322
18,4,37.5,37,26,26,78,926.4999999999999,1047,17576,676,182,676,8788,26,3,756064033,13240655799,192419096,1415282284,89458322
19,4,37.5,34.5,19,24,75,926.4999999999999,1084,11400,456,161,456,6906,25,3,756064033,13240655799,192419096,1415282284,89458322
20,2,45.5,73.5,33,54,117,1248,1047,53460,1782,291,1782,22140,30,3.9,756064033,13240655799,192419096,1415282284,89458322
21,2,41.999999999999886,67.5,23,55,117,1071.5,1125.5,37950,1265,273,1265,19517,30,3.9,756064033,13240655799,192419096,1415282284,89458322
22,2,47,58.5,29,40,93,926.4999999999999,974.5,27840,1160,231,1160,13994,24,3.9,756064033,13240655799,192419096,1415282284,89458322
23,2,50.5,58.5,38,42,117,973.4999999999999,974.5,47880,1596,277,1596,20316,30,3.9,756064033,13240655799,192419096,1415282284,89458322
24,2,45.5,58,35,45,117,1126.4999999999998,1254,47250,1575,277,1575,20295,30,3.9,756064033,13240655799,192419096,1415282284,89458322
25,5,82.49999999999989,30.5,63,27,12,1031,948.5,5103,1701,192,1701,3861,3,4,756064033,13240655799,192419096,1415282284,89458322
26,2,36.999999999999886,71.5,23,55,117,1076.5,1047,37950,1265,273,1265,19517,30,3.9,756064033,13240655799,192419096,1415282284,89458322
27,3,49.5,33,32,22,34,1126.4999999999998,1114.5,7040,704,142,704,4376,10,3.4,756064033,13240655799,192419096,1415282284,89458322
28,2,45.5,60.5,28,48,109,1126.4999999999998,1047,37632,1344,261,1344,17912,28,3.9,756064033,13240655799,192419096,1415282284,89458322
29,1,43.5,30,39,21,32,1020.9999999999999,1125.5,8190,819,152,819,4659,10,3.2,756064033,13240655799,192419096,1415282284,89458322
30,4,43.5,37.5,27,26,54,1020.9999999999999,1155.5,12636,702,160,702,6426,18,3,756064033,13240655799,192419096,1415282284,89458322
31,2,48.5,71.5,33,54,117,1020.9999999999999,1047,53460,1782,291,1782,22140,30,3.9,756064033,13240655799,192419096,1415282284,89458322
32,2,34.499999999999886,74.5,23,55,117,878.5,887,37950,1265,273,1265,19517,30,3.9,756064033,13240655799,192419096,1415282284,89458322
33,1,53.5,43,40,25,28,926.4999999999999,887,9000,1000,158,1000,4640,9,3.2,756064033,13240655799,192419096,1415282284,89458322
34,1,53.5,37.5,40,19,32,926.4999999999999,930,7600,760,150,760,4536,10,3.2,756064033,13240655799,192419096,1415282284,89458322
35,2,37,80.5,24,67,113,986.9999999999999,887,46632,1608,295,1608,22174,29,3.9,756064033,13240655799,192419096,1415282284,89458322
36,2,82.49999999999989,54.5,66,38,117,1031,887,75240,2508,325,2508,26844,30,3.9,756064033,13240655799,192419096,1415282284,89458322
