ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,4,42.5,38,24,26,78,1095.5,1102.5,16224,624,178,624,8424,26,3,245748112,3339544413,76706676,1470688649,152672324
2,3,42.5,26.5,26,20,30,1095.5,1166.5,4680,520,122,520,3280,9,3.4,245748112,3339544413,76706676,1470688649,152672324
3,3,36.5,33.5,22,17,27,1207,1159.5,2992,374,105,374,2480,8,3.4,245748112,3339544413,76706676,1470688649,152672324
4,2,66.00000000000011,45.5,47,35,78,926.9999999999999,1266.5,32900,1645,242,1645,14437,20,3.9,245748112,3339544413,76706676,1470688649,152672324
5,5,66.00000000000011,36,53,31,12,926.9999999999999,1064.5,4929,1643,180,1643,3659,3,4,245748112,3339544413,76706676,1470688649,152672324
6,5,66.00000000000011,43,52,30,8,926.9999999999999,1107.5,3120,1560,172,1560,2872,2,4,245748112,3339544413,76706676,1470688649,152672324
7,5,66.00000000000011,42.5,53,31,12,926.9999999999999,1150.5,4929,1643,180,1643,3659,3,4,245748112,3339544413,76706676,1470688649,152672324
8,4,37,48,24,32,51,1156,1007,13056,768,163,768,6480,17,3,245748112,3339544413,76706676,1470688649,152672324
9,4,37,40.5,25,28,45,1156,1055,10500,700,151,700,5470,15,3,245748112,3339544413,76706676,1470688649,152672324
10,2,66.00000000000011,59.5,51,47,117,926.9999999999999,933.5,71910,2397,313,2397,25329,30,3.9,245748112,3339544413,76706676,1470688649,152672324
11,4,48,37,31,24,78,1145,1102.5,19344,744,188,744,9324,26,3,245748112,3339544413,76706676,1470688649,152672324
12,4,48,53.5,31,35,63,1145,1139.5,22785,1085,195,1085,9401,21,3,245748112,3339544413,76706676,1470688649,152672324
13,5,81.5,44,65,32,8,1007,1061.5,4160,2080,202,2080,3632,2,4,245748112,3339544413,76706676,1470688649,152672324
14,2,66.00000000000011,51.5,56,40,39,926.9999999999999,1208,22400,2240,231,2240,9728,10,3.9,245748112,3339544413,76706676,1470688649,152672324
15,4,38,47,21,29,81,1050.5,1112.5,16443,609,181,609,8709,27,3,245748112,3339544413,76706676,1470688649,152672324
16,2,53.5,51,40,40,113,1095.5,1007,46400,1600,273,1600,19680,29,3.9,245748112,3339544413,76706676,1470688649,152672324
17,1,53.5,37.5,38,25,35,1095.5,1058,10450,950,161,950,5360,11,3.2,245748112,3339544413,76706676,1470688649,152672324
18,2,40,56.5,21,39,93,1007,936.5,19656,819,213,819,11979,24,3.9,245748112,3339544413,76706676,1470688649,152672324
19,4,43,45.5,27,29,63,1007,1266.5,16443,783,175,783,7839,21,3,245748112,3339544413,76706676,1470688649,152672324
20,4,45.5,45.5,26,32,78,1050,1266.5,21632,832,194,832,9880,26,3,245748112,3339544413,76706676,1470688649,152672324
21,5,90.5,41.5,84,25,12,1102.5,1208,6300,2100,230,2100,4716,3,4,245748112,3339544413,76706676,1470688649,152672324
22,5,81.5,47.5,68,35,12,1007,1007,7140,2380,218,2380,4852,3,4,245748112,3339544413,76706676,1470688649,152672324
23,5,90.5,55.5,78,36,12,1102.5,1256.5,8424,2808,240,2808,5544,3,4,245748112,3339544413,76706676,1470688649,152672324
24,3,26,47.5,10,35,30,852.5,887,3150,350,120,350,3050,9,3.4,245748112,3339544413,76706676,1470688649,152672324
25,4,33.499999999999886,47.5,19,34,81,878.5,887,17442,646,187,646,9232,27,3,245748112,3339544413,76706676,1470688649,152672324
26,2,59.499999999999886,51.5,40,40,113,852.5,941.5,46400,1600,273,1600,19680,29,3.9,245748112,3339544413,76706676,1470688649,152672324
27,5,66.00000000000011,39.5,62,31,8,926.9999999999999,887,3844,1922,194,1922,3410,2,4,245748112,3339544413,76706676,1470688649,152672324
28,4,42.5,42.5,25,24,75,1064,887,15000,600,173,600,7950,25,3,245748112,3339544413,76706676,1470688649,152672324
29,5,79.5,43.5,72,31,12,1113.5,887,6696,2232,218,2232,4704,3,4,245748112,3339544413,76706676,1470688649,152672324
30,4,31,43.5,19,24,78,1207,887,11856,456,164,456,7164,26,3,245748112,3339544413,76706676,1470688649,152672324
31,4,39.5,43.5,28,32,57,1238,887,17024,896,177,896,7736,19,3,245748112,3339544413,76706676,1470688649,152672324
32,4,39.5,42,26,24,66,1284.5,887,13728,624,166,624,7224,22,3,245748112,3339544413,76706676,1470688649,152672324
33,5,95.5,37.5,91,24,8,1207,1007,4368,2184,238,2184,4024,2,4,245748112,3339544413,76706676,1470688649,152672324
34,1,52,45,33,39,32,1250.5,1110.5,12870,1287,176,1287,5895,10,3.2,245748112,3339544413,76706676,1470688649,152672324
35,3,52,37.5,33,37,34,1250.5,1155.5,12210,1221,174,1221,5981,10,3.4,245748112,3339544413,76706676,1470688649,152672324
36,2,32.5,73.5,21,55,105,1309.5,1119.5,31185,1155,257,1155,17115,27,3.9,245748112,3339544413,76706676,1470688649,152672324
37,4,46,43,31,32,81,1267.5,1269,26784,992,207,992,11198,27,3,245748112,3339544413,76706676,1470688649,152672324
38,2,66.00000000000011,65.5,51,51,93,926.9999999999999,1327,62424,2601,297,2601,21573,24,3.9,245748112,3339544413,76706676,1470688649,152672324
39,2,51.5,76.5,33,63,97,1007,1327,51975,2079,289,2079,20703,25,3.9,245748112,3339544413,76706676,1470688649,152672324
40,4,45,45,29,31,78,1065.5,1327,23374,899,198,899,10259,26,3,245748112,3339544413,76706676,1470688649,152672324
41,1,45,31.5,36,20,32,1065.5,1372,7200,720,144,720,4304,10,3.2,245748112,3339544413,76706676,1470688649,152672324
42,3,35,31,24,28,34,1117.5,1327,6720,672,138,672,4208,10,3.4,245748112,3339544413,76706676,1470688649,152672324
43,4,35,37.5,18,27,42,1117.5,1358,6804,486,132,486,4266,14,3,245748112,3339544413,76706676,1470688649,152672324
44,4,35.5,64.5,23,46,60,1254,1327,21160,1058,198,1058,9338,20,3,245748112,3339544413,76706676,1470688649,152672324
45,4,42.5,35,28,24,81,1296.5,1327,18144,672,185,672,9096,27,3,245748112,3339544413,76706676,1470688649,152672324
46,4,42.5,39.5,27,29,63,1296.5,1362,16443,783,175,783,7839,21,3,245748112,3339544413,76706676,1470688649,152672324
47,5,77.5,40.5,62,25,12,1207,832.5,4650,1550,186,1550,3638,3,4,245748112,3339544413,76706676,1470688649,152672324
48,2,73.49999999999989,72.5,54,56,117,838.5,1007,90720,3024,337,3024,28764,30,3.9,245748112,3339544413,76706676,1470688649,152672324
49,5,64.49999999999989,41.5,50,28,12,847.5,1086.5,4200,1400,168,1400,3272,3,4,245748112,3339544413,76706676,1470688649,152672324
50,5,75.49999999999989,39.5,64,26,12,836.5,1272.5,4992,1664,192,1664,3824,3,4,245748112,3339544413,76706676,1470688649,152672324
51,2,81.49999999999989,59.5,63,40,93,830.5,1327,60480,2520,299,2520,21678,24,3.9,245748112,3339544413,76706676,1470688649,152672324
52,5,83.5,46.5,67,33,8,1309.5,1007,4422,2211,208,2211,3811,2,4,245748112,3339544413,76706676,1470688649,152672324
53,2,44,73.5,33,60,70,1349,1119.5,35640,1980,256,1980,15000,18,3.9,245748112,3339544413,76706676,1470688649,152672324
54,5,72.5,44.5,57,31,8,1320.5,1267.5,3534,1767,184,1767,3175,2,4,245748112,3339544413,76706676,1470688649,152672324
55,2,66.00000000000011,73.5,55,58,89,926.9999999999999,1399.5,73370,3190,315,3190,23304,23,3.9,245748112,3339544413,76706676,1470688649,152672324
56,1,30.5,74.5,17,61,32,1207,1398.5,10370,1037,188,1037,6029,10,3.2,245748112,3339544413,76706676,1470688649,152672324
57,4,45,35,28,24,81,1244.5,1398.5,18144,672,185,672,9096,27,3,245748112,3339544413,76706676,1470688649,152672324
58,4,45,39.5,31,24,78,1244.5,1433.5,19344,744,188,744,9324,26,3,245748112,3339544413,76706676,1470688649,152672324
59,5,77.49999999999989,32.5,59,22,12,834.5,787,3894,1298,174,1298,3242,3,4,245748112,3339544413,76706676,1470688649,152672324
60,2,66.00000000000011,86,52,75,105,926.9999999999999,787,105300,3900,359,3900,30570,27,3.9,245748112,3339544413,76706676,1470688649,152672324
61,4,38.5,40,25,26,78,1007,787,16900,650,180,650,8606,26,3,245748112,3339544413,76706676,1470688649,152672324
62,4,38.5,46,20,35,75,1007,827,17500,700,185,700,8950,25,3,245748112,3339544413,76706676,1470688649,152672324
63,4,46,37,28,24,81,1052.5,836,18144,672,185,672,9096,27,3,245748112,3339544413,76706676,1470688649,152672324
64,4,47.5,52,29,38,78,1105.5,821,28652,1102,212,1102,11554,26,3,245748112,3339544413,76706676,1470688649,152672324
65,4,33,35,17,24,81,1160,787,11016,408,163,408,7050,27,3,245748112,3339544413,76706676,1470688649,152672324
66,2,33,51,21,39,93,1160,822,19656,819,213,819,11979,24,3.9,245748112,3339544413,76706676,1470688649,152672324
67,5,77.5,38.5,77,28,8,1207,787,4312,2156,218,2156,3836,2,4,245748112,3339544413,76706676,1470688649,152672324
68,4,45.5,48,30,34,81,1291.5,787,27540,1020,209,1020,11388,27,3,245748112,3339544413,76706676,1470688649,152672324
69,4,45.5,38,28,24,81,1291.5,835,18144,672,185,672,9096,27,3,245748112,3339544413,76706676,1470688649,152672324
70,4,49,36,31,24,42,1344,837,10416,744,152,744,5364,14,3,245748112,3339544413,76706676,1470688649,152672324
71,3,50.5,25,31,19,20,1007,1410.5,3534,589,120,589,2589,6,3.4,245748112,3339544413,76706676,1470688649,152672324
72,4,50.5,37.5,31,26,60,1007,1435.5,16120,806,174,806,7646,20,3,245748112,3339544413,76706676,1470688649,152672324
73,2,37.5,64.5,23,53,97,1296.5,1408.5,30475,1219,249,1219,15963,25,3.9,245748112,3339544413,76706676,1470688649,152672324
74,1,52,37,36,36,32,1341,1408.5,12960,1296,176,1296,5904,10,3.2,245748112,3339544413,76706676,1470688649,152672324
75,1,59.5,38,41,35,35,768,835,15785,1435,187,1435,6755,11,3.2,245748112,3339544413,76706676,1470688649,152672324
76,2,63.5,72.5,49,53,113,768,1007,75313,2597,317,2597,25649,29,3.9,245748112,3339544413,76706676,1470688649,152672324
77,2,72.5,53,58,40,70,768,1140,41760,2320,266,2320,16040,18,3.9,245748112,3339544413,76706676,1470688649,152672324
78,2,61.5,53.5,50,42,117,768,1208,63000,2100,301,2100,23628,30,3.9,245748112,3339544413,76706676,1470688649,152672324
79,1,61.5,43.5,42,35,35,768,1268.5,16170,1470,189,1470,6860,11,3.2,245748112,3339544413,76706676,1470688649,152672324
80,2,69.5,79.5,58,64,117,768,1393.5,111360,3712,361,3712,32260,30,3.9,245748112,3339544413,76706676,1470688649,152672324
81,4,39,41.5,25,29,78,838.5,730.5,18850,725,186,725,9149,26,3,245748112,3339544413,76706676,1470688649,152672324
82,4,34.499999999999886,41.5,22,30,81,877.5,730.5,17820,660,185,660,9084,27,3,245748112,3339544413,76706676,1470688649,152672324
83,4,37,40.5,24,30,81,1311.5,731.5,19440,720,189,720,9468,27,3,245748112,3339544413,76706676,1470688649,152672324
84,4,44.5,40.5,28,24,78,1348.5,731.5,17472,672,182,672,8784,26,3,245748112,3339544413,76706676,1470688649,152672324
85,4,36.5,46.5,22,36,78,1436.5,946.5,20592,792,194,792,9840,26,3,245748112,3339544413,76706676,1470688649,152672324
86,2,55.5,53,40,40,113,1412.5,1208,46400,1600,273,1600,19680,29,3.9,245748112,3339544413,76706676,1470688649,152672324
