ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,17,34.5,16,24,17,1147,1112.5,1920,384,97,384,1744,5,3.4,1585553987,2133307320,509913763,909294007,266792046
2,3,19,34.5,18,21,20,1164,1112.5,2268,378,98,378,1938,6,3.4,1585553987,2133307320,509913763,909294007,266792046
3,4,33.5,46,23,35,51,1147,1009.5,13685,805,167,805,6721,17,3,1585553987,2133307320,509913763,909294007,266792046
4,1,33.5,37.5,14,30,16,1147,1055.5,2100,420,104,420,1828,5,3.2,1585553987,2133307320,509913763,909294007,266792046
5,5,82.5,45.5,80,32,8,1049.5,1112.5,5120,2560,232,2560,4352,2,4,1585553987,2133307320,509913763,909294007,266792046
6,2,70.5,75.5,56,56,50,1061.5,947,40768,3136,274,3136,14336,13,3.9,1585553987,2133307320,509913763,909294007,266792046
7,4,46,42.5,30,27,45,1049.5,1165,12150,810,159,810,5940,15,3,1585553987,2133307320,509913763,909294007,266792046
8,4,36.5,42.5,18,25,51,1095.5,1165,7650,450,137,450,4836,17,3,1585553987,2133307320,509913763,909294007,266792046
9,1,45,67,41,59,35,1006.5,1226.5,26609,2419,235,2419,9419,11,3.2,1585553987,2133307320,509913763,909294007,266792046
10,5,86,55.5,81,36,8,1147,947,5832,2916,242,2916,4788,2,4,1585553987,2133307320,509913763,909294007,266792046
11,1,51,63.5,33,60,16,1003.5,947,9900,1980,202,1980,4956,5,3.2,1585553987,2133307320,509913763,909294007,266792046
12,2,73.5,67,55,53,113,1058.5,1226.5,84535,2915,329,2915,27323,29,3.9,1585553987,2133307320,509913763,909294007,266792046
13,1,48.5,34,30,25,35,948,947,8250,750,145,750,4600,11,3.2,1585553987,2133307320,509913763,909294007,266792046
14,3,48.5,29.5,30,17,13,948,981,2040,510,107,510,1732,4,3.4,1585553987,2133307320,509913763,909294007,266792046
15,2,54,46.5,39,36,89,948,1161,32292,1404,239,1404,14754,23,3.9,1585553987,2133307320,509913763,909294007,266792046
16,4,40.5,46.5,27,32,63,1002,1161,18144,864,181,864,8298,21,3,1585553987,2133307320,509913763,909294007,266792046
17,2,70.5,63.5,54,45,62,1061.5,1029.5,38880,2430,260,2430,14706,16,3.9,1585553987,2133307320,509913763,909294007,266792046
18,1,58,75.5,41,56,35,996.5,1017.5,25256,2296,229,2296,9086,11,3.2,1585553987,2133307320,509913763,909294007,266792046
19,3,41.5,45,25,26,30,948,1017.5,5850,650,132,650,3710,9,3.4,1585553987,2133307320,509913763,909294007,266792046
20,3,41.5,30.5,25,16,17,948,1062.5,2000,400,99,400,1794,5,3.4,1585553987,2133307320,509913763,909294007,266792046
21,3,45.5,44.5,34,35,13,1187.5,1048.5,4760,1190,151,1190,2984,4,3.4,1585553987,2133307320,509913763,909294007,266792046
22,3,50,41.5,33,29,34,948,1112.5,9570,957,158,957,5173,10,3.4,1585553987,2133307320,509913763,909294007,266792046
23,3,44.5,41.5,28,30,13,998,1112.5,3360,840,129,840,2348,4,3.4,1585553987,2133307320,509913763,909294007,266792046
24,2,86,67,69,56,58,1147,1226.5,57960,3864,308,3864,18364,15,3.9,1585553987,2133307320,509913763,909294007,266792046
25,4,47,53.5,29,42,57,1147,1154,23142,1218,199,1218,9312,19,3,1585553987,2133307320,509913763,909294007,266792046
26,4,39,53.5,26,42,69,1194,1154,25116,1092,205,1092,10476,23,3,1585553987,2133307320,509913763,909294007,266792046
27,1,51.5,30,41,27,32,948,1226.5,11070,1107,168,1107,5459,10,3.2,1585553987,2133307320,509913763,909294007,266792046
28,5,51.5,37,50,30,12,948,1256.5,4500,1500,172,1500,3420,3,4,1585553987,2133307320,509913763,909294007,266792046
29,4,45.5,36,28,24,48,887.5,851.5,10752,672,152,672,5664,16,3,1585553987,2133307320,509913763,909294007,266792046
30,4,45.5,45.5,28,34,57,887.5,887.5,18088,952,181,952,8020,19,3,1585553987,2133307320,509913763,909294007,266792046
31,1,25,44,15,27,16,948,854.5,2025,405,100,405,1749,5,3.2,1585553987,2133307320,509913763,909294007,266792046
32,1,25.5,44,14,27,16,973,854.5,1890,378,98,378,1690,5,3.2,1585553987,2133307320,509913763,909294007,266792046
33,1,50.5,34.5,38,34,22,948,898.5,9044,1292,166,1292,4460,7,3.2,1585553987,2133307320,509913763,909294007,266792046
34,1,34,45,27,41,16,1005.5,854.5,5535,1107,152,1107,3283,5,3.2,1585553987,2133307320,509913763,909294007,266792046
35,3,34,33.5,17,18,27,1005.5,899.5,2448,306,97,306,2196,8,3.4,1585553987,2133307320,509913763,909294007,266792046
36,1,44.5,76.5,26,59,28,1147,856.5,13806,1534,198,1534,6294,9,3.2,1585553987,2133307320,509913763,909294007,266792046
37,4,34.5,42,16,29,39,1198.5,856.5,6032,464,129,464,3974,13,3,1585553987,2133307320,509913763,909294007,266792046
