Model_ID,Density_Factor,Height_m,People,People_Thousands,WLC_kgCO2e,WLC_MtCO2e,NDLR_WLC_MtCO2e,NDHR_WLC_MtCO2e,DLR_WLC_MtCO2e,DHR_WLC_MtCO2e,HOUSE_WLC_MtCO2e,NDLR_Count,NDHR_Count,DLR_Count,DHR_Count,House_Count
106,35.28,19.48,52860,52.86,5749927286,5.7,0.87105291,0.450649074,3.134106383,1.267733343,0.026385576,78,7,893,41,4
1,38.45,19.06,46420,46.42,6288179362,6.3,1.324424697,1.084941147,3.114885954,0.718525936,0.045401628,79,9,888,23,6
110,35.51,19.3,46252,46.252,5917304649,5.9,1.177094249,0.876355401,3.126970705,0.702636796,0.034247498,76,9,875,23,5
5,35.88,18.1,44232,44.232,6045354384,6.0,1.09073505,1.252170951,2.722040826,0.917930679,0.062476878,76,11,792,29,8
3,34.7,18.19,38563,38.563,5717768885,5.7,1.207065095,1.288715304,2.615278226,0.566468968,0.040241292,76,12,807,22,6
4,35.39,18.61,44763,44.763,5837013868,5.8,0.858590356,1.235810799,2.908681864,0.778189661,0.055741188,76,13,802,23,8
10,35.46,21.13,44909,44.909,5939162900,5.9,1.195839391,0.994532091,3.141476553,0.594150833,0.013164032,71,13,807,17,3
102,36.14,19.75,50552,50.552,6418331910,6.4,0.947724806,1.240218294,3.140378614,1.060017914,0.029992282,77,13,861,35,5
107,35.62,20.16,52387,52.387,6533593841,6.5,1.032548477,1.111790175,3.082593447,1.29096839,0.015693352,75,13,892,38,2
115,37.26,19.8,47073,47.073,6517933944,6.5,1.280977319,1.299306993,2.967979302,0.922687588,0.046982742,77,13,743,31,7
7,36.17,18.59,41431,41.431,6003590454,6.0,0.898159235,1.651033062,3.076444684,0.352912889,0.025040584,74,14,882,15,3
8,35.13,19.05,41203,41.203,5705737113,5.7,0.914442999,1.353538155,2.971725822,0.435026289,0.031003848,70,14,861,17,5
9,34.56,18.92,39217,39.217,5712186497,5.7,0.99144851,1.453180437,2.964563609,0.257055279,0.045938662,71,14,810,9,7
410,34.92,26.11,76578,76.578,8759604907,8.8,0.813963655,1.501532046,3.378753373,3.060318017,0.005037816,75,14,842,87,1
14,36.84,19.73,45981,45.981,6235447332,6.2,1.101964813,1.289197278,2.988970046,0.827241351,0.028073844,77,15,750,25,3
105,36.05,21.13,51304,51.304,6580590870,6.6,0.911604503,1.376870628,3.257368103,1.027852412,0.006895224,77,15,894,35,1
112,37.87,20.01,50383,50.383,6837496618,6.8,1.362852131,1.255496889,2.992487649,1.165234961,0.061424988,79,15,717,39,8
210,34.54,21.95,51998,51.998,6795063203,6.8,1.160513588,1.277909829,3.02482427,1.311562668,0.020252848,75,15,817,46,3
101,38.7,19.59,51082,51.082,7269254932,7.3,1.030351775,1.964819925,3.211210426,1.028077094,0.034795712,80,16,891,33,6
309,34.89,23.3,59179,59.179,7729877305,7.7,0.851811101,1.912261947,3.147682836,1.786976597,0.031144824,72,16,818,62,4
6,34.11,18.67,38638,38.638,5858396492,5.9,0.947741784,1.689387114,2.885612773,0.335654821,0,76,17,796,12,0
206,35.53,21.95,57637,57.637,7355230139,7.4,0.708797385,1.810312575,3.110059774,1.710212685,0.01584772,80,17,835,58,3
306,37.09,24.04,66539,66.539,8135610970,8.1,0.860641629,1.689946401,3.475147576,2.092556058,0.017319306,72,17,874,64,2
17,35.84,19.92,40631,40.631,6657455281,6.7,1.257189612,2.000247456,2.536329497,0.814500572,0.049188144,76,18,703,26,7
103,37.72,19.76,46427,46.427,6916718888,6.9,1.135096721,1.898493417,2.96200822,0.869491872,0.051628658,79,18,829,33,7
207,35.14,22.41,50560,50.56,7169507469,7.2,1.119702321,1.814921454,2.983608255,1.234657377,0.016618062,77,18,740,43,3
510,32.83,30.19,80242,80.242,9450063797,9.5,0.649725345,2.040730971,3.246700235,3.487163988,0.025743258,46,18,795,112,3
2,37.8,20.28,43931,43.931,6908692295,6.9,1.423124847,1.812964245,2.876045925,0.761031124,0.035526154,78,19,826,25,6
220,34.43,22.1,50608,50.608,7471066670,7.5,1.084853194,2.137455204,2.646292665,1.593454525,0.009011082,70,19,658,53,1
305,35.32,23.8,64487,64.487,8466385706,8.5,0.879931786,2.158976436,2.844253435,2.551176801,0.032047248,74,19,804,79,5
308,35.86,24.35,62305,62.305,9140828716,9.1,1.311945696,2.580416895,2.588257204,2.647064505,0.013144416,73,19,679,87,1
406,37.22,27.56,75147,75.147,9724482244,9.7,0.98995288,2.413027464,3.364820412,2.929956228,0.02672526,75,19,740,107,3
27,35.31,19.79,33704,33.704,6633497279,6.6,1.786190882,2.02434726,1.960589313,0.764891,0.097478824,73,20,495,23,15
108,35.85,20.32,43387,43.387,6569720466,6.6,1.163637414,1.779558939,2.860155708,0.734171955,0.03219645,75,20,790,27,6
203,39.41,22.84,57806,57.806,8325540226,8.3,1.258138467,2.226340251,3.417612132,1.39125363,0.032195746,79,20,822,45,5
208,35.83,21.53,51814,51.814,7251722306,7.3,1.125014323,1.78235085,2.91794551,1.402282155,0.024129468,76,20,826,51,3
209,33.62,22.14,50367,50.367,7145971528,7.1,0.841140601,2.080863501,2.786476061,1.410267897,0.027223468,71,20,785,50,4
301,37.69,23.88,61222,61.222,8608335980,8.6,1.371534058,2.096116962,3.115485216,1.983420072,0.041779672,80,20,803,67,6
310,34.61,22.93,60486,60.486,8171923398,8.2,0.803115458,2.284622559,2.904026388,2.147547693,0.0326113,73,20,788,74,4
13,36.19,18.74,40541,40.541,6483106953,6.5,1.299057145,1.789734558,2.489690808,0.869489272,0.03513517,79,21,731,28,6
22,37.18,19.65,40318,40.318,6745181349,6.7,1.463214092,1.901813169,2.269685022,1.044708884,0.065760182,76,21,575,34,10
25,38.33,20.49,41075,41.075,7086284847,7.1,1.238868225,2.415267936,2.710863701,0.643745645,0.07753934,75,21,644,22,13
29,35.09,20.43,34479,34.479,6632404060,6.6,1.616528021,2.132044017,2.187076683,0.661856013,0.034899326,73,21,483,23,6
104,38.22,20.78,48582,48.582,7650062021,7.7,1.277777638,2.304260451,2.917660969,1.106196667,0.044166296,77,21,780,33,6
109,34.32,21.36,45955,45.955,6804942322,6.8,0.874907742,2.078441031,2.628099078,1.180912585,0.042581886,68,21,711,38,7
119,35.28,20.5,51439,51.439,7013400673,7.0,0.815653281,1.879123359,2.693733478,1.600533705,0.02435685,73,21,746,48,3
205,36.3,21.95,50777,50.777,7852935675,7.9,1.051586463,2.543292555,2.843030132,1.392938805,0.02208772,75,21,885,50,4
312,36.2,24.6,58379,58.379,8580164826,8.6,1.449541547,2.221236765,2.701584353,2.163819911,0.04398225,79,21,707,68,7
114,35.4,20.15,44712,44.712,6916911496,6.9,1.203721585,1.967244324,2.616309214,1.082350949,0.047285424,78,22,704,35,7
228,32.99,24.57,49958,49.958,7707907256,7.7,1.566405269,1.931788461,1.983841995,2.161558499,0.064313032,74,22,456,73,9
303,36.71,24.11,63007,63.007,8649578399,8.6,0.892053526,2.467196439,3.234503407,2.028933691,0.026891336,76,22,862,75,4
304,35.93,24.23,60783,60.783,8125804641,8.1,0.88245464,2.141703954,3.178243507,1.892959576,0.030442964,76,22,794,66,4
314,36.76,24.95,65174,65.174,9161433234,9.2,1.151251177,2.523725724,2.829970145,2.640697084,0.015789104,79,22,683,93,3
24,36.23,19.78,39662,39.662,6762883372,6.8,1.332370756,2.111121081,2.421866511,0.839460268,0.058064756,77,23,548,24,7
36,35.65,20.41,34066,34.066,6880590538,6.9,1.622262774,2.403965772,1.902144242,0.825241064,0.126976686,72,23,412,26,16
