Model_ID,Density_Factor,Height_m,People_Thousands,WLC_MtCO2e,Land_Area_km2,People_class,NDLR_WLC,NDHR_WLC,DLR_WLC,DHR_WLC,HOUSE_WLC,NDLR_Count,NDHR_Count,DLR_Count,DHR_Count,HOUSE_Count
509,23.88,31.68,20,1.9,0.34,20k,0.2,0.0,0.7,1.0,0.0,13,0,95,34,3
817,27.05,44.25,20,2.3,0.26,20k,0.4,0.2,0.4,1.3,0.0,14,3,46,38,4
330,34.96,28.44,20,2.4,0.32,20k,0.7,0.0,0.6,1.0,0.1,29,0,61,32,10
607,29.22,36.09,20,2.5,0.32,20k,0.3,0.5,0.4,1.2,0.1,17,5,54,36,12
709,29.66,38.77,20,2.5,0.27,20k,0.3,0.6,0.4,1.2,0.0,17,4,58,37,6
304,41.2,27.56,20,2.5,0.31,20k,0.7,0.2,0.6,1.0,0.1,41,3,73,33,15
210,25.49,24.31,20,2.6,0.51,20k,0.5,0.4,0.9,0.7,0.1,20,5,130,24,8
119,27,21.23,20,2.6,0.58,20k,0.4,0.5,1.2,0.4,0.1,16,7,165,16,12
508,27.86,35.56,20,2.6,0.32,20k,0.5,0.4,0.5,1.2,0.0,26,4,61,36,4
117,31.05,21.05,20,2.6,0.55,20k,0.7,0.3,1.0,0.5,0.2,32,4,139,20,24
520,31.38,40.35,20,2.6,0.25,20k,0.3,0.6,0.3,1.4,0.0,14,7,36,40,2
220,24.52,23.88,20,2.7,0.61,20k,0.3,0.7,0.9,0.6,0.2,19,5,113,22,23
9,25.84,17.54,20,2.7,0.80,20k,0.3,0.8,1.3,0.1,0.3,17,7,210,4,34
507,30.71,35.81,20,2.7,0.31,20k,0.4,0.7,0.4,1.2,0.1,19,6,60,39,9
517,22.35,32.07,20,2.8,0.49,20k,0.4,0.7,0.7,0.9,0.1,13,6,96,34,12
310,32.8,29.47,20,2.8,0.35,20k,0.6,0.5,0.6,1.0,0.1,24,4,84,31,6
129,25.5,22.22,20,2.9,0.67,20k,0.6,0.6,1.1,0.4,0.1,21,8,129,19,17
718,29.99,44.89,20,2.9,0.25,20k,0.3,0.8,0.3,1.4,0.0,16,7,39,36,6
529,28.75,32.28,20,2.9,0.41,20k,0.6,0.6,0.6,1.0,0.1,19,6,67,34,15
230,25.45,23.99,20,2.9,0.63,20k,0.5,0.7,1.1,0.4,0.1,18,9,137,18,17
208,26.17,23.81,20,2.9,0.57,20k,0.4,0.8,1.1,0.6,0.1,22,9,160,21,10
107,27.7,20.67,20,2.9,0.66,20k,0.6,0.7,1.2,0.3,0.2,29,6,164,13,22
309,35.7,29.07,20,2.9,0.33,20k,0.4,0.8,0.7,0.9,0.1,23,8,99,32,6
708,25.69,42.16,20,3.0,0.33,20k,0.4,0.9,0.4,1.2,0.0,19,9,57,39,4
828,31.44,44.47,20,3.0,0.30,20k,0.3,1.0,0.3,1.3,0.1,13,8,29,37,18
904,31.05,52.08,20,3.0,0.21,20k,0.4,0.9,0.2,1.5,0.0,17,7,28,34,1
706,29.84,41.47,20,3.0,0.31,20k,0.4,0.9,0.5,1.2,0.1,19,8,52,40,7
909,27.15,50.37,20,3.1,0.27,20k,0.4,1.0,0.2,1.5,0.0,13,6,25,43,5
409,27.42,31.69,20,3.1,0.43,20k,0.8,0.5,0.5,1.1,0.1,37,5,69,38,6
402,39.92,31.07,20,3.1,0.31,20k,0.6,0.8,0.5,1.1,0.1,30,7,73,36,13
720,31.03,48.31,20,3.1,0.25,20k,0.2,1.1,0.3,1.4,0.1,10,11,30,37,7
703,37.27,44.69,20,3.1,0.23,20k,0.2,1.2,0.3,1.3,0.0,12,12,41,41,7
407,33.8,31.39,20,3.1,0.35,20k,0.6,0.8,0.6,1.1,0.1,30,7,71,29,9
916,29.05,49.31,20,3.1,0.28,20k,0.2,1.2,0.2,1.4,0.1,11,9,29,35,9
819,27.87,49.48,20,3.1,0.27,20k,0.2,1.3,0.3,1.3,0.0,9,13,42,37,3
320,30.01,26.32,20,3.2,0.51,20k,0.7,0.8,0.9,0.6,0.1,26,9,109,21,15
305,40.22,28.24,20,3.2,0.35,20k,1.2,0.3,0.6,1.0,0.1,54,3,82,35,8
608,30.91,40.25,20,3.2,0.32,20k,0.3,1.2,0.4,1.2,0.1,13,11,57,35,10
809,30.22,48.13,20,3.2,0.26,20k,0.4,1.1,0.3,1.3,0.0,19,9,42,36,4
504,29.44,33.53,20,3.2,0.42,20k,0.7,0.9,0.6,0.9,0.1,27,7,85,40,14
440,23.27,30.57,20,3.2,0.58,20k,0.6,0.9,0.5,1.1,0.1,26,10,57,28,18
707,33.33,43.78,20,3.2,0.25,20k,0.6,1.0,0.4,1.3,0.0,23,8,54,34,3
218,28.16,23.33,20,3.3,0.64,20k,0.6,1.0,1.1,0.4,0.2,27,12,148,15,19
810,28.3,50.71,20,3.3,0.25,20k,0.1,1.4,0.3,1.4,0.0,7,9,36,35,2
239,23.69,26.65,20,3.3,0.65,20k,0.6,1.0,0.7,0.8,0.1,23,8,78,25,16
617,27.3,42.3,20,3.3,0.34,20k,0.2,1.4,0.3,1.3,0.1,10,11,38,39,6
